Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.6716666666666666,0.35506991584175385,0.2733901515151515,0.30645196830909593,0.5333344898336817
Decision Tree,0.6275000000000001,0.2960069445796582,0.27329545454545456,0.2822387793587999,0.5171557982845699
Naive Bayes,0.6633333333333333,0.3303369534948482,0.24545454545454545,0.27911425848098353,0.5765767861807733
KNN,0.6691666666666667,0.32986942903158073,0.22689393939393937,0.26625751000048764,0.5199079969958202
Logistic Regression,0.6683333333333333,0.3269910824301556,0.22698863636363634,0.264604993398458,0.5712521225182863
